Function,Best Position,Best Value,Execution Time,Dimensions,Num Particles,Bounds,Max Iterations,Inertia (w),Cognitive (c1),Social (c2)
Sphere,"[0.3888662969689425, 0.11931270613256008, 0.22192178986053274, 0.647901510638415, 0.04406771249779352, 0.2973522532566388, -0.6425126986622107, 0.36412283128416817, -0.5056106085757416, -0.46498288587491704]",1.7420976687325367,0.09807848930358887,10,30,"(-5, 5)",200,0.4,0.5,0.3
Sphere,"[0.7077047483805651, 0.254198731647859, -0.2838653399689148, 0.4097639386610301, 0.489204654793746, 0.245789853861391, 0.43785910443880455, 0.0373104501961469, 0.6122206743619002, 0.13330563062966133]",1.6993800795550218,0.10592389106750488,10,30,"(-5, 5)",200,0.4,0.5,0.8999999999999999
Sphere,"[0.043386295343561435, 0.10960029045422237, -0.07986644745084324, 0.29270121398941257, -1.0225570600213727, 0.19521413606030813, -0.4497775419762011, -0.24065205095842931, 0.393033323455631, 0.17692329601989815]",1.6356690372256837,0.09964895248413086,10,30,"(-5, 5)",200,0.4,0.5,1.5
Sphere,"[0.5633159338004279, 0.4826238129580743, 0.6102018267433794, 0.33219522379201577, 0.02596053710743911, 0.517679741981898, -0.3329881680139803, -0.11445360272949201, -0.2783013635014205, 0.97059290919539]",2.4450997784463615,0.09660792350769043,10,30,"(-5, 5)",200,0.4,1.0,0.3
Sphere,"[-0.3932266314092642, -0.40035542542667746, -0.33214803716429064, -0.2680697270986555, -0.12019360057470277, 0.36350330914236917, 0.1530946868829049, 0.37864043520597174, 0.5570214863629738, 0.22574720377418594]",1.1717178034800786,0.10050606727600098,10,30,"(-5, 5)",200,0.4,1.0,0.8999999999999999
Sphere,"[0.44771412425483104, 0.04609496586725298, 0.06685851924074634, 0.5824353899607065, -0.23726435263082166, 0.48710285258514485, -0.4251483322764241, 0.1933787643615868, 0.1687747629507012, -0.10758050721679521]",1.0980422271207544,0.10051345825195312,10,30,"(-5, 5)",200,0.4,1.0,1.5
Sphere,"[-0.08976113894184665, -0.012584527178335862, 0.10969252653172341, 0.05010018427811157, 0.24044446205874645, 0.03711681301296891, 0.004745580436231077, -0.15386297580950467, -0.07147809468320518, -0.2448410434398286]",0.17070169880389124,0.09628725051879883,10,30,"(-5, 5)",200,0.4,1.5,0.3
Sphere,"[0.43348028272131106, -0.10177979062732348, 0.1887235168573336, -0.09078957923919113, -0.020427605944056213, -0.0015181216451666975, 0.14191395376728944, -0.0068875854500718165, -0.18481624085191753, 0.37260785316172323]",0.43572385080727305,0.09733080863952637,10,30,"(-5, 5)",200,0.4,1.5,0.8999999999999999
Sphere,"[-0.5192787533066971, -0.07946573848868636, 0.23262760062820947, -0.3676640176344207, -0.897095335457534, -0.6566541402115667, 1.0405270681841166, 0.5150840384901963, -0.5397983570576786, -0.639129628931579]",3.7491094536146785,0.0968022346496582,10,30,"(-5, 5)",200,0.4,1.5,1.5
Sphere,"[0.135491342517467, 0.06550585309083003, -0.09825896986640295, 0.06271348626324554, 0.11029471339081624, 0.06816060752408623, -0.054847331893714484, -0.0512491650005051, -0.25340814948767476, -0.004559908419671454]",0.12291870914552654,0.10473108291625977,10,30,"(-5, 5)",200,0.65,0.5,0.3
Sphere,"[0.04364557056977292, 0.01066127861711957, 0.032456558224762795, 0.09785063155736784, -0.1337897244303452, 0.003277281235156528, 0.08389732684823384, 0.07517081078071335, -0.04918328474565516, -0.0057451457201258245]",0.04569861833895493,0.0995948314666748,10,30,"(-5, 5)",200,0.65,0.5,0.8999999999999999
Sphere,"[-0.0583215310480006, -0.07509304327343767, -0.07359358065518763, 0.017960662997311545, -0.0409719227016554, 0.026483860162838144, 0.010940375798916682, 0.16058346618296254, 0.016002050688819276, 0.010173372348488797]",0.043425364524943805,0.09691953659057617,10,30,"(-5, 5)",200,0.65,0.5,1.5
Sphere,"[-0.05931087231595577, 0.031360912786813154, -0.05244773507559571, 0.18717871993784538, -0.09800853284170205, 0.16008228353132725, -0.020156845860144275, 0.05823164362873484, -0.09554098191733772, 0.10284984737007646]",0.10102332763272984,0.09858369827270508,10,30,"(-5, 5)",200,0.65,1.0,0.3
Sphere,"[0.01442338337366724, -0.012887848474776415, 0.005547938119631979, 0.018803588117172334, 0.015592362907805435, -0.025194490254161858, -0.04347984706708395, -0.026719582440226552, 0.01453420131817374, -0.048802071764284416]",0.006833687693128513,0.10060548782348633,10,30,"(-5, 5)",200,0.65,1.0,0.8999999999999999
Sphere,"[-0.018567522621375693, -0.024303564914498837, -0.04027806816070263, 0.06278835166730797, 0.02003533287908822, -0.054010569774152604, -0.02868900373659618, -0.026021455292266907, 0.09198575691792867, 0.0837969557054901]",0.026802156586806784,0.09866786003112793,10,30,"(-5, 5)",200,0.65,1.0,1.5
Sphere,"[0.1603446330406221, -0.22486864808522045, -0.15735143933955978, -0.014562346039328981, -0.17212968477581753, 0.4453621945109963, 0.2996953711737911, -0.2499119256106915, 0.39426883278112557, 0.17333429289448363]",0.6669899359629415,0.10051488876342773,10,30,"(-5, 5)",200,0.65,1.5,0.3
Sphere,"[-0.028512433663171237, -0.044864110420314435, 0.02931761631240466, 0.01908004279609888, 0.017201877057332712, 0.03415448132459003, 0.04872252712109718, -0.13456385427591352, -0.07733121707098486, 0.02873169248409259]",0.03279869391872819,0.09920716285705566,10,30,"(-5, 5)",200,0.65,1.5,0.8999999999999999
Sphere,"[-0.008859939013416732, 0.013588623977676082, 0.004059259576095122, -0.012807383514088522, 0.013498176226410532, 0.004688237551911012, 0.003641000934306711, -0.01576502795180154, 0.001190530521328479, 0.012689040979953041]",0.001072058332531435,0.10627293586730957,10,30,"(-5, 5)",200,0.65,1.5,1.5
Sphere,"[-0.0017255134280644464, 0.015945731073411983, -0.024753951941082337, 0.08547753263037179, -0.0009750659568639274, 0.005515928367891711, 0.011270203873034089, 0.01109376913504183, -0.007334614396018461, -0.0037708314582090424]",0.008525891623899502,0.14763808250427246,10,30,"(-5, 5)",200,0.9,0.5,0.3
Sphere,"[-0.0009974143195575534, 0.0010157075986163282, 0.006559486010128904, 0.012697269330819575, -0.0016151672785848564, 0.010621806840630348, 0.013196967854915415, -0.004542407472152056, 0.005350548641299236, -0.006906346390616731]",0.0005928249657614939,0.1046762466430664,10,30,"(-5, 5)",200,0.9,0.5,0.8999999999999999
