Function,Best Position,Best Value,Execution Time,Dimensions,Num Particles,Bounds,Max Iterations,Inertia (w),Cognitive (c1),Social (c2)
Sphere,"[0.061785241550130036, 0.5104751255665195, -0.28804112227014533, 0.3020765344699228, 0.8307518869936171, -0.8233624494716937, 0.11234576293541752, 0.20692511705331246, -0.10175796005053508, 0.38130907097705546]",2.017885476195147,0.14959025382995605,10,30,"(-5, 5)",200,0.4,0.5,0.3
Sphere,"[0.5492943993927751, -0.25547756346377987, -0.395937877108212, 0.18489643214356313, 0.12008815698825323, 0.20716963013138132, -0.23958638392907058, 0.19140978310369514, -0.4915210381582535, 0.38582571393131426]",1.099780789798432,0.1350257396697998,10,30,"(-5, 5)",200,0.4,0.5,0.8999999999999999
Sphere,"[0.32972302522751307, -0.5591349734807799, -0.5125005752088602, -0.41132017633740675, -0.4462719145351026, -0.3529907280214193, 0.5478155542153655, 0.364287554715882, -0.26847202641401946, -0.034833688384675376]",1.6830493135325963,0.12552142143249512,10,30,"(-5, 5)",200,0.4,0.5,1.5
Sphere,"[0.5435124948374065, -0.12154455055822226, -0.10159336111064618, -0.02338200270080945, -0.32487882320300104, 0.7578889047995141, 0.009022824917367297, 0.49859562426572046, -0.056204089753619436, -0.4338145561851991]",1.4410216574404215,0.2825958728790283,10,30,"(-5, 5)",200,0.4,1.0,0.3
Sphere,"[0.7622116656550884, 0.19945290950104047, -0.28424003491403904, 0.2759488980066981, -0.05173756611095301, 0.16628259723551547, 0.12668782214825072, -0.023562272148901994, -0.5862506796535943, -0.11067300093370236]",1.180558313498112,0.16514062881469727,10,30,"(-5, 5)",200,0.4,1.0,0.8999999999999999
Sphere,"[-0.1227891349747689, -0.2294172890499304, 0.19630261991970013, -0.4556253943507182, -0.10439151164562868, -0.3301992612808122, 0.09044054100633986, 0.06720659556163781, 0.2876380519211904, 0.23482846496997858]",0.5843440974191894,0.1485142707824707,10,30,"(-5, 5)",200,0.4,1.0,1.5
Sphere,"[0.19680116068910236, -0.05018912602071755, 0.43039821659502503, 0.0729953122279301, -0.010099531620930911, 0.42439240474177103, -0.07736248320424909, -0.06859752945129574, 0.6329880199355954, 0.004464509865151584]",0.8234158395008686,0.15235447883605957,10,30,"(-5, 5)",200,0.4,1.5,0.3
Sphere,"[-0.023763625496057428, -0.21675715999202913, 0.2707210924647749, 0.11269954462105627, -0.04238555707986146, -0.19672058048409152, 0.09664340697756145, 0.12776884775827718, 0.40797058251989315, -0.20006273442281763]",0.4061649162786739,0.15478277206420898,10,30,"(-5, 5)",200,0.4,1.5,0.8999999999999999
Sphere,"[-0.0680526077476706, -0.16636758002429242, 0.3736149272108747, 0.32977925387919105, 0.3029853319854334, 0.003373181625498448, 0.27644728644111466, 0.24902193815138982, 0.1635704654095205, -0.3816973671060315]",0.6833464940521967,0.12861347198486328,10,30,"(-5, 5)",200,0.4,1.5,1.5
Sphere,"[-0.043005499617100734, 0.35383017027453123, 0.4636572166925018, -2.622262780531035e-05, 0.134682071937195, -0.029274050660043658, 0.2792993849362723, -0.3284524533057976, -0.2980560766205, -0.013546674253588756]",0.6359296059179419,0.1650524139404297,10,30,"(-5, 5)",200,0.65,0.5,0.3
Sphere,"[0.1321386658685132, -0.07175576197802214, -0.017771830728405737, -0.09532463869202336, -0.1657782594302689, 0.11959340598610504, 0.03537511984952802, 0.07977417614915049, -0.08722211892455504, 0.0486291285644725]",0.0913849636181213,0.14381837844848633,10,30,"(-5, 5)",200,0.65,0.5,0.8999999999999999
