Function,Best Position,Best Value,Execution Time,Dimensions,Num Particles,Bounds,Max Iterations,Inertia (w),Cognitive (c1),Social (c2)
Ackley,"[-2.175378285877601, -4.170028237912785, 0.13001061828364083, -5.197280762564966, 1.0562810757735046, -4.39824238833727, 1.0925795063211106, 6.90608309450278, -0.9297391072913195, 4.112285533568621]",11.441971607800873,0.2475118637084961,10,30,"(-32.768, 32.768)",200,0.4,0.5,0.3
Ackley,"[-0.006749999817642116, 0.9669078006355839, -9.06765967391853, 0.9162174290605732, -6.104339114925686, -0.03992782171146561, -0.9639388768292819, -3.0656218667532094, -1.8208435569533492, -1.9685961579203324]",10.80934198911182,0.3071715831756592,10,30,"(-32.768, 32.768)",200,0.4,0.5,0.8999999999999999
Ackley,"[0.9949210010877398, 2.9513242448481987, -0.9918303187000975, 2.9632959458736714, 0.9388576238074701, -1.884028785152817, 0.0269094478892006, -0.9919839056167874, 1.0101485581946212, 0.9570786522554333]",5.706783283904141,0.25800609588623047,10,30,"(-32.768, 32.768)",200,0.4,0.5,1.5
Ackley,"[5.012634027349246, 0.0807631316844155, 1.9672732386748515, 4.094072877977038, -0.07220833075007067, 2.066930148000673, 3.2893696309706084, -1.0078223493873621, 1.8970237027821222, 0.982688725267683]",8.54061436339523,0.2906680107116699,10,30,"(-32.768, 32.768)",200,0.4,1.0,0.3
Ackley,"[-2.019043478263296, 2.0928168660369484, 2.0104185413559033, -4.9013151419748455, -4.1572112204574045, 1.8807366345868044, -2.970903586664337, 4.010388540191159, 3.953330864500512, -1.2655328048049292]",9.901659288571611,0.29828333854675293,10,30,"(-32.768, 32.768)",200,0.4,1.0,0.8999999999999999
Ackley,"[2.1176382961063185, -0.29434917112742914, -0.956242946103256, -1.016560707391376, -1.8597468025137631, 2.043958962195491, 2.968066384366081, 1.0377640204233411, 1.8943359951173688, 3.086173342272274]",6.974560572174651,0.2640371322631836,10,30,"(-32.768, 32.768)",200,0.4,1.0,1.5
Ackley,"[1.8762709142815415, 1.0432212397055989, -3.1949252815067712, 2.5181678817100344, -3.0995506376126, 1.9555213822275446, -2.0239603532494024, 0.20180553483909866, -3.0669055537720404, 5.0960894262182785]",9.325849169497818,0.2785961627960205,10,30,"(-32.768, 32.768)",200,0.4,1.5,0.3
Ackley,"[1.0915736202579733, 0.026648550918624173, -1.942537207607646, 2.149289096708596, -3.8580524326816876, -1.9946726559753678, -0.14611160300044698, 3.053122303242678, -1.822251261176018, 0.9410381729093912]",7.239615866930089,0.3277444839477539,10,30,"(-32.768, 32.768)",200,0.4,1.5,0.8999999999999999
Ackley,"[-1.0058344780385002, 0.9813496489795692, -0.9547021721065686, -0.01689628662932209, -3.9545823473736736, -4.907293370814501, 0.7552804705414284, -1.8969295076460442, 3.9483202843192142, -1.1053601957518349]",8.344789922068063,0.3448042869567871,10,30,"(-32.768, 32.768)",200,0.4,1.5,1.5
Ackley,"[5.000606954795513, -0.0027810171021657964, -0.9668976962057628, -2.033601067361309, -4.071654324902305, 3.0413474305121873, 3.9867837867996867, -0.983863910368725, 2.99241762582664, -1.9959696716198232]",8.913967433744293,0.2657127380371094,10,30,"(-32.768, 32.768)",200,0.65,0.5,0.3
Ackley,"[3.9570674756623005, 0.3809018354832503, -0.040392829118309104, 1.9020696917395556, -1.0886875165332892, -0.08995507629370221, -0.07260864100801429, -0.04127107123886194, -2.086896247233053, -0.06703151651764104]",6.055382081066789,0.1836411952972412,10,30,"(-32.768, 32.768)",200,0.65,0.5,0.8999999999999999
Ackley,"[-0.03409213072825106, 0.006697189055432767, -0.9932069419937499, -1.9595134753145824, 0.018265927282603536, -0.9354758632773477, -0.958640480955729, -1.9601626952626239, -0.04214974101441944, -0.01603591849988438]",3.7675486436136443,0.20604634284973145,10,30,"(-32.768, 32.768)",200,0.65,0.5,1.5
