Function,Best Position,Best Value,Execution Time,Dimensions,Num Particles,Bounds,Max Iterations,Inertia (w),Cognitive (c1),Social (c2)
Sphere,"[0.3888662969689425, 0.11931270613256008, 0.22192178986053274, 0.647901510638415, 0.04406771249779352, 0.2973522532566388, -0.6425126986622107, 0.36412283128416817, -0.5056106085757416, -0.46498288587491704]",1.7420976687325367,0.6171760559082031,10,30,"(-5, 5)",200,0.4,0.5,0.3
Sphere,"[0.5925992369494503, 0.5257506074201138, -0.42081503831056744, 0.05274333921534982, -0.25893722524584345, -0.07157844375066068, -0.6940369804915134, -0.11025121792904831, -1.0167685271568865, -0.3920228282380856]",2.56096947038457,0.6701641082763672,10,30,"(-5, 5)",200,0.4,0.5,0.8999999999999999
Sphere,"[0.38846837975025617, 0.11932057855126055, 0.22125221214409815, 0.6474750092387876, 0.0442796093058289, 0.29741572159469026, -0.6429078625929127, 0.36424888728724975, -0.505172512117195, -0.4655096927464089]",1.7416446194644295,0.7243025302886963,10,30,"(-5, 5)",200,0.4,1.0,0.3
Sphere,"[0.27240002093764665, -0.1866184115385098, -0.0020848084822834008, 0.1424646286348374, 0.28672424415676157, -0.2754790910666782, 0.0341553524492893, 0.032054719881561174, -0.20500155113530696, 0.19832453248144752]",0.3709805908921334,1.2099907398223877,10,30,"(-5, 5)",200,0.4,0.5,1.5
Sphere,"[0.12877350040923333, 0.04693731101652574, -0.026084442659517017, -0.12711147341437404, -0.052940344395481016, 0.11256848116527882, -0.05528277425165228, -0.16155499020758335, 0.514726404025987, 0.15351701973426932]",0.36876473975165674,0.8274087905883789,10,30,"(-5, 5)",200,0.4,1.5,0.8999999999999999
Sphere,"[0.14281112025119289, -0.15007926108761377, 0.2722365599774405, 0.14731320138438628, 0.17716626345501021, -0.08702919366508279, 0.025476059980210512, 0.11331634443238688, 0.023169321894639112, -0.05217488544373511]",0.19444334971883562,1.1559851169586182,10,30,"(-5, 5)",200,0.4,1.0,1.5
Sphere,"[0.49028922936729424, 0.27858219383135363, -0.26328865833858583, 0.40039999517219643, 0.011379765310011116, -0.0280338166642457, -0.835048880678637, 0.2687321925398954, -0.8153428519468804, 0.10019699531212035]",1.9928950633527618,1.1679818630218506,10,30,"(-5, 5)",200,0.4,1.0,0.8999999999999999
Sphere,"[-0.05871078081480616, -0.06725782829075609, 0.16354436099120762, 0.08577864975838478, 0.018842980890637576, -0.0633274757621203, 0.03572435306092439, 0.006783005250844128, -0.04410876902478296, -0.07319971979736518]",0.055066754177062964,0.8669345378875732,10,30,"(-5, 5)",200,0.4,1.5,1.5
Sphere,"[0.3880704652241589, 0.1193284495722334, 0.22058263401139333, 0.6470485087075574, 0.0444915027909581, 0.2974791900525808, -0.6433030249440933, 0.36437494041104007, -0.5047344161821818, -0.46603650081926173]",1.741194528316023,1.024932861328125,10,30,"(-5, 5)",200,0.4,1.5,0.3
Sphere,"[0.08168552110886702, -0.06312851864154007, -0.01442959297603387, 0.010574348435312214, 0.01532277047385966, -0.05624925297242734, 0.1933465385966936, -0.18572391722186227, 0.20319224022916568, -0.02294372007504667]",0.12806628817372348,0.7922966480255127,10,30,"(-5, 5)",200,0.65,0.5,0.8999999999999999
Sphere,"[0.23934750077241804, 0.2196945771308262, -0.429097298864574, -0.07766748108617332, 0.23043514633914963, -0.011085955504803926, 0.10688483046509031, -0.1511813328894965, 0.12116164663693649, -0.25242803895076193]",0.46161313979773677,1.0510270595550537,10,30,"(-5, 5)",200,0.65,0.5,0.3
Sphere,"[0.0030940388966225942, -0.06794618092106325, -0.07219226998762829, 0.05169040766126479, 0.06620189409209937, 0.12026914245111073, -0.08043223852815354, 0.06322017672641164, 0.14095015035654676, 0.09497792016698442]",0.07071112202066084,0.6857485771179199,10,30,"(-5, 5)",200,0.65,1.0,0.3
Sphere,"[0.1105769893598103, 0.102625300587679, 0.006700460632988086, -0.0034342226199161425, -0.01437415169696678, -0.1180268845235205, 0.13897640738522424, 0.16928553125909424, -0.024987722921094017, -0.11824453702530753]",0.09953106439811256,0.8502087593078613,10,30,"(-5, 5)",200,0.65,0.5,1.5
Sphere,"[0.35750623830093153, 0.04539558813101704, -0.23175819947628243, -0.0035444125238970306, -0.004680687051353224, -0.12217319306191919, -0.04044319207378272, -0.19479299055855864, -0.08773273783063333, -0.1276738857488087]",0.26212170901001103,0.7191412448883057,10,30,"(-5, 5)",200,0.65,1.5,0.3
Sphere,"[-0.0004780434615477998, 0.03059287919907756, -0.017400048301641144, -0.0023797059407501377, 0.0044240526911437554, -0.0009255738412684752, 0.034605525382960675, -0.05493913913686588, -0.009136532483549556, -0.029974876861150943]",0.0064628272584487875,0.690131425857544,10,30,"(-5, 5)",200,0.65,1.5,0.8999999999999999
Sphere,"[-0.08629247102458393, 0.034049973915373316, -0.032698894464433616, 0.06739656468387306, -0.05581930005012429, -0.027485227538667972, -0.02056419655308595, 0.004782638499667964, 0.06750134179289918, 0.06133712759939716]",0.026852972077367056,0.843207597732544,10,30,"(-5, 5)",200,0.65,1.0,1.5
Sphere,"[-0.003334713545327912, 0.032846468607552824, -0.034619890178542265, 0.0983178208348093, -0.07703381977394148, 0.04976275599165204, -0.15158061540269793, 0.09538288570285215, -0.10213121309345079, 0.08674402325626257]",0.070395370886432,0.8822052478790283,10,30,"(-5, 5)",200,0.65,1.0,0.8999999999999999
Sphere,"[-0.042624818466665715, -0.01754139290948634, -0.001999844594834741, 0.07740709953614382, -0.047579339289423345, 0.006650669572852961, -0.012109357410644056, -0.06634504574288758, 0.004703253998797469, -0.028231714894457825]",0.01579591094009221,0.6761250495910645,10,30,"(-5, 5)",200,0.65,1.5,1.5
Sphere,"[-0.0010935465487217511, -7.108359821596591e-05, -0.0005266848143638376, 0.001068855189379177, -0.001088617676289566, -0.0004265806856476699, -0.0006899074823681177, -0.00046255681245629086, 0.0011097121280925775, -0.0008280314957719841]",6.594833072401963e-06,0.7611110210418701,10,30,"(-5, 5)",200,0.9,0.5,0.3
Sphere,"[-0.004453391802977677, 0.003004302794191618, -0.0018795473533099807, 0.0005556146195748544, 0.007822756963029405, 4.6253296654278405e-05, 0.0014321485846147555, -0.004812433989881544, -0.002203498038996596, 0.000258457042715759]",0.0001240303796850851,0.6065754890441895,10,30,"(-5, 5)",200,0.9,0.5,0.8999999999999999
Sphere,"[0.011675976259115015, -0.021665562093430797, -0.00567461350339653, 0.02157478693256163, -0.009585100170146812, 0.004059032118991882, -0.0016557212729719465, -0.029382160093701665, 0.011647026381865723, -0.0025842715982451548]",0.0022201319869799008,0.6361868381500244,10,30,"(-5, 5)",200,0.9,1.0,0.3
Sphere,"[0.010480068449103139, -0.011227957341728684, 0.006199629726802625, 0.010251060702994289, -0.006564140842398629, 0.01519383944831024, 0.02045280770907639, -0.014177742089123325, 0.013838715302955934, -0.010981986106348849]",0.0015847989912378285,0.6131870746612549,10,30,"(-5, 5)",200,0.9,1.0,0.8999999999999999
Sphere,"[0.05594196906616229, 0.024497085879721804, -0.04293231860373962, -0.011726063093726341, 0.02897762067367418, 0.003147296473434276, 0.003456262872475968, 0.016620542405852923, -0.031769318268388545, 0.02272631542565947]",0.008373866809941169,0.7337191104888916,10,30,"(-5, 5)",200,0.9,0.5,1.5
Sphere,"[-0.021461131957341235, 0.032684621205084086, -0.04324798729300517, -0.009351083261191565, 0.014261034919182151, -0.006941256343306159, 0.006975223511787881, 0.0008585673563413212, -0.002592596853129498, -0.009499267049016763]",0.003884602481709706,0.6401958465576172,10,30,"(-5, 5)",200,0.9,1.5,0.8999999999999999
Sphere,"[-0.03379241700614278, -0.023104821557087832, 0.01761976281389049, -0.013158793704644248, 0.00880322259362401, -0.024281551926242283, 0.011510430929874013, 0.03963685963332426, 0.06086245637569612, 0.05480273971796132]",0.011237610150122134,0.7257184982299805,10,30,"(-5, 5)",200,0.9,1.0,1.5
Sphere,"[0.01364356869616125, -0.00029545632370860087, -0.017552820690682664, -0.0270951937850572, -0.01192585469864207, 0.021050074896240126, -0.020593270735091308, 0.02711909558113658, 0.013192085699728535, 0.008526812572704115]",0.003220082767552189,0.719719648361206,10,30,"(-5, 5)",200,0.9,1.5,0.3
Sphere,"[-0.11312507411864396, -0.010083569702916906, -0.01267385168181117, 0.015966038043256886, 0.12141063025404311, 0.06790636275876731, -0.06118970352625777, -0.008181266796718205, -0.098963444950686, 0.03927322125630614]",0.04781357918974746,0.6737203598022461,10,30,"(-5, 5)",200,0.9,1.5,1.5
Sphere,"[-0.19586427545142385, 0.3762633952111482, -0.43749482678454055, -1.1423342267430703, 0.20896508199303798, -0.3761178221979059, 0.09406057834646361, 0.4539699448958313, 0.6727070820160423, 0.2646609150562451]",2.5989135091136504,1.566755771636963,10,30,"(-5, 5)",500,0.4,0.5,0.3
Sphere,"[0.31016391643727365, -0.08971857983431804, -0.17216214592848733, 0.5323299974970322, 0.9783478992058157, 0.1277899703328307, 0.002594147068721298, 0.3571800391216212, -0.12838257164631986, 0.3067128288503266]",1.6289001517810149,1.502739429473877,10,30,"(-5, 5)",500,0.4,0.5,0.8999999999999999
Sphere,"[0.4706540065535362, 0.21999540527358472, 0.850765594347377, 0.45250901937717913, 0.9659605918424652, -0.5958737788439997, -0.9313988078877398, 0.19451065346113777, -0.13043484333986055, -0.9248346701138588]",4.264295655722086,1.6002659797668457,10,30,"(-5, 5)",500,0.4,0.5,1.5
