Function,Best Position,Best Value,Execution Time,Dimensions,Num Particles,Bounds,Max Iterations,Inertia (w),Cognitive (c1),Social (c2)
Sphere,"[-0.5206468644876195, -1.2529963260318793, 0.09851044500950276, 0.35331043949726726, -0.12043558944836738, -0.08276563831522828, -0.48735986743707654, 0.6791276402887995, -0.41264092370983263, 0.3058017663222189]",2.959481651473813,1.930546760559082,10,30,"(-5, 5)",500,0.4,1.5,0.3
Sphere,"[-0.005196710422517039, 0.005065736678117623, -0.003142435341987449, 0.03218716351134053, 0.0021684060889852227, -0.001861174334403116, -0.01686674377845782, -0.02149390434551682, -0.0024053324396110577, -0.008382640533442953]",0.0019292510931219937,3.3816139698028564,10,30,"(-5, 5)",500,0.9,1.5,0.3
Sphere,"[0.010028728016623132, -0.020534822103128708, 0.0073758357715286455, 0.03175322211856563, -0.008437667752805975, 0.0016323281753594006, -0.03350963538637238, 0.03166602438508142, -0.0045709897586944485, -0.006162122483375845]",0.0038432815700152924,1.1236705780029297,10,30,"(-5, 5)",200,0.65,1.5,1.5
Sphere,"[0.40453492240810895, -0.6191822374945402, 0.13180293690419473, 0.1192801864194452, -0.37503248122314076, -0.3225528380588864, -0.6664053605606953, 0.42625907380306344, 0.4254378835200784, -0.46963257418826815]",1.850669669093755,4.428122520446777,10,30,"(-5, 5)",500,0.4,1.0,1.5
Sphere,"[0.3425120919549146, -0.14060518283696363, -0.13552653784464957, 0.0010407686517965719, 0.2531380966151423, -0.12685846196795522, 0.0013969036117851745, -0.0284240451710828, 0.06949204689537201, -0.10232990143662178]",0.25173527255962963,2.6775715351104736,10,30,"(-5, 5)",200,0.65,1.0,0.8999999999999999
Sphere,"[8.27548299756843e-05, -0.00047322237718029815, 0.00038938564132880453, -0.0007755990169471593, -0.0005365356218105463, 0.00015617969649359045, -0.00042645012868169555, -0.000948250797328562, 0.000801936846987836, 0.00014984025169842495]",3.042819458452108e-06,0.8269262313842773,10,30,"(-5, 5)",500,0.9,1.0,1.5
Sphere,"[0.007050866502890976, 0.006128129942323129, 0.00408907950600884, -0.010502179945844172, -0.013900702123544197, -0.0009828872614623288, 0.0020492347975718432, -0.003627518874761846, -0.010220003291904579, -0.012931395139336525]",0.0006975083407277208,4.044188499450684,10,50,"(-5, 5)",200,0.65,1.0,1.5
Sphere,"[-0.010188921219488755, -0.08992247340166196, -0.035185899352123205, -0.12618298934819275, -0.3147714431334547, 0.030073867087398464, -0.036893645983803944, 0.09326310037691773, 0.29369624881675566, 0.10686036424743747]",0.23307132956828355,1.6145203113555908,10,30,"(-5, 5)",200,0.65,1.5,0.8999999999999999
Sphere,"[-0.006474582698332153, -0.0724388952845974, 0.018648429200392263, 0.02637152240534473, 0.020993217488355958, 0.19672299033402377, 0.046145796776306626, -0.0060352357670953516, -0.03442177217015847, 0.03711212233314154]",0.050201211637550855,3.2290971279144287,10,30,"(-5, 5)",200,0.65,1.5,0.3
Sphere,"[-0.2455295141169302, 0.49369120594206467, 0.395313189707098, 0.2953237315041997, -0.3499779014516419, -1.425097072980862, -0.08875447695341804, 0.5760440258258059, -0.3649297632959012, -0.06578596764902549]",3.1780961749437036,3.4908063411712646,10,30,"(-5, 5)",500,0.4,1.0,0.8999999999999999
Sphere,"[0.0006376505318971848, -0.00015150722686396918, 0.0001576082866027308, -7.338325364126809e-05, -0.002008901019089225, 0.0008970332838264226, -0.0007831197145751346, 0.00044558908001143707, 0.0016569425690058925, 0.0010310044279644205]",9.92038505437951e-06,2.6639416217803955,10,30,"(-5, 5)",500,0.9,1.0,0.8999999999999999
Sphere,"[-0.0028078817033320527, 0.047622136947239296, 0.03953027612071368, -0.02832005998377728, -0.08330236498267302, -0.048525779587563746, 0.050464425828623725, -0.18039776882046824, 0.056374605867255456, -0.14056998063200515]",0.07196248486221987,2.375290870666504,10,30,"(-5, 5)",200,0.65,1.0,1.5
Sphere,"[-0.014714967920205862, 0.2940558623174396, -0.14844660787288871, 0.5626461704202506, -0.208446779539043, -0.777012422147701, -0.9139288428371783, 0.3560910567326055, 0.49790679657370096, 0.6716567918065555]",2.7335916475025286,2.844071865081787,10,30,"(-5, 5)",500,0.4,1.0,0.3
Sphere,"[-0.01861671235136626, 0.022785387044505657, -0.0021062195576487244, -0.009867619234141084, 9.521863345304484e-05, -0.0027478482680462104, 0.0018485210751626193, 0.01878311060474183, 0.012339492190935077, 0.0011211886304958328]",0.0014848640540394001,5.55865478515625,10,30,"(-5, 5)",500,0.9,1.0,0.3
Sphere,"[-1.1695613993836553, -0.21883808675355454, -0.3210026314989088, -0.31058261616864014, 0.4384307119969595, 0.2997265168268603, -0.38284069619781297, 0.608053853172674, -0.3125182085022765, -0.29982870243501625]",2.6011870686216136,0.7295680046081543,10,30,"(-5, 5)",200,0.4,1.5,0.3
Sphere,"[0.03645301763840506, 0.0017633913158399603, -0.009049344183465561, 0.027342371549674137, 0.05573267002812249, 0.1973664423038766, 0.06202880309165304, 0.1604827398176924, -0.08287154628234097, 0.08047667906734955]",0.0871675422614545,3.2010390758514404,10,50,"(-5, 5)",200,0.65,1.0,0.3
Sphere,"[0.38881775168383115, 0.11953480382952926, 0.22222519707561583, 0.6475476168733454, 0.04456004439453855, 0.29747677730434163, -0.6423394490940045, 0.3645301428055034, -0.5057635133711728, -0.46509308556091145]",1.7422383008468103,0.6771945953369141,10,30,"(-5, 5)",200,0.4,0.5,0.3
